doNo,subDoNo,mngFctryCd,facBranchCd,shipperCode,setCd,cntNo,yr,ssnCd,dptPortCd,dptPortName,exf,pack_key,epc
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000500DB0D4A44C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D2604C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D1544B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D5844D
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D1884C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4097,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004097,E28068940000400DB0D5344C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D2284B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D3CC4C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000400DB0D3404C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000400DB0D4184C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D1404C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D2B84B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D18C4C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D0FC4C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D3884C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D1E44B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D33C4C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D5844C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000400DB0D2BC4B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000400DB0D45C4C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000400DB0D5804C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000400DB0D2F04C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000400DB0D1E04B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000400DB0D1444C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000400DB0D1D44C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D3044B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D3844C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D1D04C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D4EC4C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4109,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004109,E28068940000500DB0D2744B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D4144C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D1984B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000500DB0D19C4B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000500DB0D4A84C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D2704B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000500DB0D21C4C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000500DB0D2A84C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000500DB0D2F44C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D3D04C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D22C4B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000500DB0D2644C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D0F84C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D1084B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D5384C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D2184C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D4604C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000500DB0D10C4B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000500DB0D1504B
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D4F04C
D0124-468503-002-01,1,00MG,00IA,8252,00-003-000,4138,2024,2,BDCGP,Chattogram,2024-02-02,01244685030020142160000300004138,E28068940000400DB0D2AC4C